"","community_names","lon","lat"
"1","Adak",-176.6580556,51.88
"2","Akhiok",-154.1702778,56.9455556
"3","Akiachak",-161.4313889,60.9094444
"4","Akiak",-161.2138889,60.9122222
"5","Akutan",-165.7730556,54.1355556
"6","Alakanuk",-164.6152778,62.6888889
"7","Allakaket, Alatna",-152.7010148,66.5493785
"8","Ambler",-157.8513889,67.0861111
"9","Anaktuvuk Pass",-151.7358333,68.1433333
"10","Angoon",-134.5838889,57.5033333
"11","Aniak",-159.540714,61.5828109
"12","Anvik",-160.2066667,62.6561111
"13","Arctic Village",-145.5377777,68.1269444
"14","Atka",-174.2005556,52.1961111
"15","Atmautluak",-162.2730556,60.8669444
"16","Atqasuk",-157.3994444,70.4691667
"17","Beaver",-147.3963889,66.3594444
"18","Bethel, Oscarville",-161.7713122,60.7316097
"19","Bettles, Evansville",-151.6192598,66.9107265
"20","Brevig Mission",-166.4891667,65.3347222
"21","Buckland",-161.1230555,65.9797222
"22","Central",-144.8030556,65.5725
"23","Chalkyitsik",-143.7222222,66.6544444
"24","Chefornak",-164.2658333,60.16
"25","Chenega Bay",-147.9448419,60.1003059
"26","Chevak",-165.5863889,61.5277778
"27","Chignik",-158.4022222,56.2952778
"28","Chignik Lagoon",-158.5356748,56.3091634
"29","Chignik Lake",-158.7625,56.2555556
"30","Chilkat Valley",-135.4428201,59.2375673
"31","Chistochina",-144.6647222,62.565
"32","Chitina",-144.4369443,61.5158333
"33","Chuathbaluk",-159.245,61.5719444
"34","Circle",-144.0605555,65.8255556
"35","Coffman Cove",-132.8277778,56.0138889
"36","Cold Bay",-162.7183867,55.204498
"37","Cordova, Eyak",-145.6289384,60.526084
"38","Craig",-133.1483333,55.4763889
"39","Craig, Klawock",-133.095395,55.5502855
"40","Crooked Creek",-158.1108333,61.87
"41","Deering",-162.7172222,66.0755556
"42","Dillingham, Aleknagik",-158.6177778,59.2730556
"43","Diomede",-168.9519256,65.7582327
"44","Dot Lake, Dot Lake Village",-144.0704005,63.6632763
"45","Eagle, Eagle Village",-84.7942238,42.817267
"46","Eek",-162.0244444,60.2188889
"47","Egegik",-157.3758333,58.2155556
"48","Ekwok",-157.4752777,59.3497222
"49","Elfin Cove",-136.3433333,58.1944444
"50","Elim",-162.2605556,64.6175
"51","Emmonak",-164.5544697,62.7756375
"52","False Pass",-163.415,54.8508333
"53","Fort Yukon",-145.2513402,66.56735
"54","Galena",-156.9275,64.7333333
"55","Gambell",-171.7411111,63.7797222
"56","Golovin",-163.0291667,64.5433333
"57","Goodnews Bay",-161.5720028,59.1284954
"58","Grayling",-160.0647222,62.9036111
"59","Gustavus",-135.7369444,58.4133333
"60","Haines, Covenant Life",-135.9913194,59.3945418
"61","Healy Lake",-144.5795064,64.0387814
"62","Hollis",-132.7122839,55.5234753
"63","Holy Cross",-159.7713889,62.1994444
"64","Hoonah",-135.4436111,58.11
"65","Hooper Bay",-166.0966666,61.5311111
"66","Hughes",-154.2555556,66.0488889
"67","Huslia",-156.3997222,65.698611
"68","Hydaburg",-132.8266667,55.2080556
"69","Igiugig",-155.8947222,59.3277778
"70","Iliamna, Newhalen, Nondalton",-154.8458333,59.9736111
"71","Kake",-133.9472222,56.9758333
"72","Kaktovik",-143.6238889,70.1319444
"73","Kalskag",-160.344002,61.535893
"74","Kaltag",-158.7219444,64.3272222
"75","Karluk",-154.4555556,57.5719444
"76","Kasigluk",-162.5180556,60.8955556
"77","Kiana",-160.4397436,66.9705861
"78","King Cove",-162.3102778,55.0616667
"79","Kipnuk",-164.0833318,59.9401747
"80","Kivalina",-164.5333333,67.7269443
"81","Klawock",-133.0958333,55.5522222
"82","Klukwan",-135.8844444,59.4038889
"83","Kobuk",-156.8811111,66.9072222
"84","Kokhanok",-154.7761111,59.4394444
"85","Koliganek",-157.2844444,59.7286111
"86","Kongiganak",-162.8902926,59.9598594
"87","Kotlik",-163.5533333,63.0341667
"88","Kotzebue",-162.5966666,66.8983333
"89","Koyuk",-161.1569443,64.9319444
"90","Koyukuk",-157.7008333,64.8802778
"91","Kwethluk",-161.4358333,60.8122222
"92","Kwigillingok",-163.1658296,59.8723383
"93","Larsen Bay",-153.9786111,57.54
"94","Levelock",-156.8588889,59.1141667
"95","Lime Village",-155.4355555,61.3563889
"96","Lower Kalskag",-160.3580556,61.5122222
"97","Manley Hot Springs",-150.6338889,65.0011111
"98","Manokotak",-159.0583332,58.9813889
"99","Marshall",-162.081111,61.8777778
"100","McGrath",-155.5959922,62.9532043
"101","Mekoryuk",-166.2703729,60.3722206
"102","Mentasta Lake",-143.5312583,62.923709
"103","Minto",-149.3369444,65.1533333
"104","Mountain Village",-163.7294444,62.0855556
"105","Naknek, South Naknek, King Salmon",-157.0063606,58.7145774
"106","Napakiak",-161.9519444,60.6966667
"107","Napaskiak",-161.7623803,60.7068387
"108","Naukati Bay",-133.1847222,55.8736111
"109","Nelson Lagoon",-161.2027778,56.0019444
"110","New Stuyahok",-157.3119443,59.4527778
"111","Newtok",-164.6419163,60.9425079
"112","Nightmute",-164.7238889,60.4794444
"113","Nikolai",-154.375,63.0133333
"114","Nikolski",-168.8677778,52.9380556
"115","Noatak",-162.9652778,67.5711111
"116","Nome",-165.4063889,64.5011111
"117","Noorvik",-161.0327778,66.8383333
"118","Northway, Northway Village, Northway Junction",-141.8323194,62.9791819
"119","Nuiqsut",-150.9763889,70.2175
"120","Nulato",-158.1030556,64.7194444
"121","Nunam Iqua",-164.8411111,62.5336111
"122","Nunapitchuk",-162.4594444,60.8969444
"123","Old Harbor",-153.3038889,57.2027778
"124","Ouzinkie",-152.5022222,57.9236111
"125","Pedro Bay",-154.1061111,59.7872222
"126","Pelican",-136.2275,57.9608333
"127","Perryville",-159.1455556,55.9127778
"128","Pilot Point",-157.5791667,57.5641667
"129","Pilot Station",-162.875,61.9388889
"130","Pitkas Point",-163.2877777,62.0327778
"131","Platinum",-161.8163889,59.0130556
"132","Point Hope",-166.8080556,68.3477778
"133","Point Lay",-163.0511111,69.7574999
"134","Port Alsworth",-154.3127778,60.2025
"135","Port Heiden",-158.6269444,56.9491667
"136","Quinhagak",-161.9158333,59.7488889
"137","Red Devil",-157.3125,61.7611111
"138","Ruby",-155.4869444,64.7394444
"139","Russian Mission",-161.3202778,61.785
"140","Saint George",-169.5416667,56.6
"141","Saint Mary's, Andreafsky",-162.6314678,62.5216411
"142","Saint Michael",-162.0391667,63.4780556
"143","Saint Paul",-170.2799461,57.1224981
"144","Sand Point",-160.4972222,55.3397222
"145","Savoonga",-170.4788888,63.6941667
"146","Scammon Bay",-165.5816667,61.8427778
"147","Selawik",-160.0069444,66.6038889
"148","Shageluk",-159.5619443,62.6822222
"149","Shaktoolik",-161.1538889,64.3338889
"150","Shishmaref",-166.0719444,66.2566667
"151","Shungnak",-157.1363888,66.8880556
"152","Skagway",-135.3138889,59.4583333
"153","Slana",-143.9611111,62.7069444
"154","Sleetmute",-157.1697222,61.7025
"155","Stebbins",-162.2656399,63.4636144
"156","Stevens Village",-149.0908333,66.0063889
"157","Stony River",-156.5880556,61.7830556
"158","Takotna",-156.0641666,62.9886111
"159","Tanana",-152.0788889,65.1719444
"160","Tatitlek",-146.6774403,60.8671301
"161","Teller",-166.3608333,65.2636111
"162","Tenakee Springs",-135.2188889,57.7808333
"163","Tetlin",-142.5161111,63.1372222
"164","Thorne Bay, Kasaan",-132.3975144,55.5374138
"165","Togiak",-160.3763889,59.0619444
"166","Tok, Tanacross",-143.335556,63.374722
"167","Toksook Bay",-165.1025,60.5302778
"168","Tuluksak",-160.9616667,61.1025
"169","Tuntutuliak",-162.6630556,60.3430556
"170","Tununak",-165.0938553,60.6124792
"171","Twin Hills",-160.275,59.0791667
"172","Unalakleet",-160.7880556,63.8730556
"173","Unalaska",-166.5332434,53.8844382
"174","Venetie",-146.4186111,67.0138889
"175","Wainwright",-160.0383333,70.6369444
"176","Wales",-168.0875,65.6091667
"177","Whale Pass",-133.1953977,56.1265111
"178","White Mountain",-163.4055556,64.6813889
"179","Yakutat",-139.7272222,59.5469444
